id,name,dog_status,is_spayed,is_house_trained,is_declawed,has_special_needs,shots_current,address,country,state,City,gender,age,primary breed,secondary breed,Rank_x,Total Score,Pet Budget Rank,Pet Health and Wellness Rank,Outdoor Pet Friendliness Rank,Rank_y
44730107.0,Jasper,adoptable,False,False,,False,False,14269 Road 28,US,CA,Madera,Male,Young,Retriever,Mixed Breed,,,,,,
44730088.0,Lilly,adoptable,False,False,,False,False,1412  1st NE,US,GA,Moultrie,Female,Baby,Retriever,Mixed Breed,,,,,,
44729168.0,Ruby,adoptable,True,False,,False,True,43 Ratley Rd,US,AL,Ashland,Female,Adult,Retriever,Mixed Breed,,,,,,
44729635.0,Bella Blue,adoptable,True,False,,False,True,6003 Chapel Hill Road Ste. 133,US,NC,Raleigh,Female,Baby,Retriever,Mixed Breed,33.0,49.08,27.0,21.0,85.0,
44729634.0,Jax Cole,adoptable,True,False,,False,True,6003 Chapel Hill Road Ste. 133,US,NC,Raleigh,Male,Baby,Retriever,Mixed Breed,33.0,49.08,27.0,21.0,85.0,
44728412.0,Rusty,adoptable,False,False,,False,False,305 Airport Road,US,SC,Greenville,Male,Baby,Retriever,Mixed Breed,,,,,,
44728413.0,Coco,adoptable,False,False,,False,False,305 Airport Road,US,SC,Greenville,Female,Baby,Retriever,Mixed Breed,,,,,,
44728414.0,Diesel,adoptable,False,False,,False,False,305 Airport Road,US,SC,Greenville,Male,Baby,Retriever,Mixed Breed,,,,,,
44728405.0,Leo,adoptable,False,False,,False,False,305 Airport Road,US,SC,Greenville,Male,Baby,Retriever,Mixed Breed,,,,,,
44727096.0,41708650,adoptable,False,False,,False,False,328 Furman Hall Road,US,SC,Greenville,Female,Adult,Retriever,Mixed Breed,,,,,,
44727098.0,41708934,adoptable,False,False,,False,False,328 Furman Hall Road,US,SC,Greenville,Female,Adult,Retriever,Mixed Breed,,,,,,
44728329.0,Sunny,adoptable,True,False,,False,False,5399 Overpass Road,US,CA,Santa Barbara,Male,Adult,Retriever,Mixed Breed,,,,,,
44728176.0,Diesel,adoptable,False,False,,False,False,150 Dexter Rd.,US,SC,Spartanburg,Male,Adult,Retriever,Mixed Breed,,,,,,
44727325.0,Red,adoptable,False,False,,False,False,4140 Valley View Lane,US,TX,Irving,Male,Young,Retriever,Mixed Breed,58.0,45.76,45.0,37.0,93.0,
44727323.0,Sunny,adoptable,True,False,,False,False,4140 Valley View Lane,US,TX,Irving,Female,Young,Retriever,Mixed Breed,58.0,45.76,45.0,37.0,93.0,
44727230.0,Mary Ann,adoptable,True,False,,False,True,3355 Berkmar Dr.,US,VA,Charlottesville,Female,Baby,Retriever,Mixed Breed,,,,,,
44727231.0,Alfalfa,adoptable,True,False,,False,True,3355 Berkmar Dr.,US,VA,Charlottesville,Male,Baby,Retriever,Mixed Breed,,,,,,
44727232.0,Buckwheat,adoptable,True,False,,False,True,3355 Berkmar Dr.,US,VA,Charlottesville,Male,Baby,Retriever,Mixed Breed,,,,,,
44726462.0,Bella,adoptable,True,False,,False,False,7 E. George Street,US,WA,Walla Walla,Female,Young,Retriever,Mixed Breed,,,,,,
44725304.0,Jasper Jacob,adoptable,True,False,,False,True,3901 Martha Truman Road.,US,MO,Kansas City,Male,Adult,Retriever,Mixed Breed,37.0,48.38,22.0,51.0,55.0,
44730299.0,Wiggles,adoptable,True,True,,False,True,1406 E 5th Street,US,IA,Tama,Female,Adult,Poodle,Yorkshire Terrier,,,,,,7.0
44729062.0,Nugget,adoptable,False,False,,False,False,6725 Randolph Road,US,WA,Moses Lake,Male,Senior,Poodle,Yorkshire Terrier,,,,,,7.0
44728800.0,Snickers,adopted,True,False,,False,True,,US,TX,Dallas,Male,Adult,Poodle,Yorkshire Terrier,72.0,43.97,84.0,40.0,47.0,7.0
44728249.0,Freddie,adoptable,True,False,,False,True,,US,PA,Walnutport,Male,Adult,Poodle,Yorkshire Terrier,,,,,,7.0
44728082.0,Puzzles,adoptable,True,False,,False,True,32 Shelter Circle,US,DE,Camden,Female,Adult,Poodle,Yorkshire Terrier,,,,,,7.0
44728063.0,FINN,adoptable,True,False,,False,False,4000 N. Silverbell RD,US,AZ,Tucson,Male,Adult,Poodle,Yorkshire Terrier,23.0,50.78,42.0,23.0,42.0,7.0
44727995.0,A978262,adoptable,True,False,,False,False,7115 De Castro Road,US,FL,Winter Haven,Male,Young,Poodle,Yorkshire Terrier,,,,,,7.0
44727790.0,A529683,adoptable,False,False,,False,False,4710 State Hwy 151,US,TX,San Antonio,Female,Young,Poodle,Yorkshire Terrier,34.0,48.9,8.0,60.0,63.0,7.0
44727836.0,SUNNY DAY,adoptable,False,False,,False,False,4710 State Hwy 151,US,TX,San Antonio,Male,Young,Poodle,Yorkshire Terrier,34.0,48.9,8.0,60.0,63.0,7.0
44727497.0,UNKNOWN,adoptable,False,False,,False,False,11780 Arrow Route,US,CA,Rancho Cucamonga,Female,Baby,Poodle,Yorkshire Terrier,,,,,,7.0
44727333.0,Morty,adoptable,True,False,,False,False,4140 Valley View Lane,US,TX,Irving,Male,Adult,Poodle,Yorkshire Terrier,58.0,45.76,45.0,37.0,93.0,7.0
44727301.0,Dreamie,adoptable,False,False,,False,False,2156 Pillsbury Road,US,CA,Chico,Female,Young,Poodle,Yorkshire Terrier,,,,,,7.0
44727279.0,Grover,adoptable,True,False,,False,False,14444 Okeechobee Blvd.,US,FL,Loxahatchee,Male,Adult,Poodle,Yorkshire Terrier,,,,,,7.0
